GROUP	GroupName	OddsRatio	FisherExactP	TargetGene:DrugNames	Padj	Cat	transf
F20-F29	Schizophrenia, schizotypal and delusional disorders	5.12946428571429	0.00251482044686076	CACNA1I:zonisamide;CHRM1:ac-260584,gsk1034702,n-desmethylclozapine,ngx-267,triflupromazine;CHRM4:org-23366;GABRA3:azd6280,topiramate;HRH3:abt-288,pitolisant;SCN4B:zonisamide	0.0793964741080327	ICD	2.59949301725668
F30-F39	Mood [affective] disorders	5.2509375	0.000275441550149494	ABAT:valproic acid;CAMK2A:abio 09-01;CAMK2B:abio 09-01;CHRM1:doxepin;CHRM4:benactyzine,doxepin;GABBR1:progabide;GABRA3:chlordiazepoxide,topiramate,acamprosate,alprazolam,amobarbital,butalbital,clotiazepam,fludiazepam,halazepam,lorazepam,meprobamate,methylphenobarbital,ns-2710,oxazepam,pentobarbital,prazepam;GRIN1:acamprosate;HRH3:gt-2203	0.030436291291519	ICD	3.55997054614321
F40-F48	Neurotic, stress-related and somatoform disorders	4.12715517241379	0.0122241910646391	ABAT:valproic acid;CAMK2A:abio 09-01;CAMK2B:abio 09-01;GABRA3:adinazolam,alprazolam,amobarbital,azd6280,bromazepam,butalbital,chlordiazepoxide,clobazam,clorazepate,clotiazepam,fludiazepam,halazepam,lorazepam,meprobamate,methylphenobarbital,ns-2710,oxazepam,pentobarbital,prazepam,clonazepam;HRH3:gt-2203	0.207811248098865	ICD	1.91277987067366
F50-F59	Behavioural syndromes associated with physiological disturbances and physical factors	1.49609375	0.402856589440949	GABRA3:adipiplon,amobarbital,aprobarbital,barbital,butabarbital,butethal,clorazepate,estazolam,eszopiclone,ethchlorvynol,flunitrazepam,flurazepam,glutethimide,methyprylon,nitrazepam,pentobarbital,quazepam,temazepam,triazolam,zopiclone;HRH3:ucl-1390,apd-916,evt-501,mk-7288,sar-152954	1	ICD	0.394849528297857
F60-F69	Disorders of adult personality and behaviour	0	1		1	ICD	0
F70-F79	Mental retardation	0	1		1	ICD	0
F80-F89	Disorders of psychological development	0	1		1	ICD	0
F90-F98	Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	3.30743243243243	0.137587046170596	CHRM4:pf-3409409;HRH3:a-317920,bavisant,cipralisant	0.812392222250327	ICD	0.861422453029686
F99-F99	Unspecified mental disorder	0	1		1	ICD	0
G00-G09	Inflammatory diseases of the central nervous system	2.83720930232558	0.172973161101122	HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	0.868797013712453	ICD	0.762021277737798
G10-G14	Systemic atrophies primarily affecting the central nervous system	2.05084745762712	0.272463795689116	HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	1	ICD	0.56469119752323
G20-G26	Extrapyramidal and movement disorders	4.86175284195086	0.00162350621546636	CHRM1:arecoline,benztropine,cycrimine,ethopropazine,metixene,nebracetam,pd-151832,procyclidine,trihexyphenidyl,xanomeline tartrate;CHRM4:metixene,procyclidine;GABBR1:arbaclofen placarbil;GLUL:nlx-p101;GRIN1:orphenadrine;HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	0.0760543136998047	ICD	2.7895460443724
G30-G32	Other degenerative diseases of the nervous system	1.49856850715746	0.305034599211603	CHRM1:a-72055,alvameline,mcd-386,talsaclidine fumarate;CHRM4:rs 86;HRH3:abt-288,azd-5213,gsk239512,gt-2016,h3 receptor inverse agonists,pf-3900422,s-38093,sar-110894,sch79687;SCN4B:brivaracetam	1	ICD	0.515650897064843
G35-G37	Demyelinating diseases of the central nervous system	3.12555803571429	0.0214794956983006	GABBR1:baclofen;GRIN1:eliprodil;HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;KCNA2:dalfampridine;MBP:bht-3009,nbi-5788;SCN4B:brivaracetam	0.339069182094602	ICD	1.66797591934196
G40-G47	Episodic and paroxysmal disorders	4.30769230769231	0.00172068583031232	ABAT:cpp -15,divalproex sodium,valproic acid,vigabatrin;CACNA1I:paramethadione,zonisamide,flunarizine;GABBR1:vigabatrin;GABRA3:adinazolam,clobazam,clonazepam,diazepam,lorazepam,metharbital,nitrazepam,pentobarbital,primidone,stiripentol,thiopental,topiramate,butalbital,adipiplon,amobarbital,aprobarbital,barbital,butabarbital,butethal,clorazepate,estazolam,eszopiclone,ethchlorvynol,flunitrazepam,flurazepam,glutethimide,methyprylon,quazepam,secobarbital,temazepam,triazolam,zopiclone;HRH3:h3 receptor inverse agonists,pf-3900422,sch79687,apd-916,evt-501,jnj-17216498,jnj-5207852,mk-7288,sar-152954;KCNQ2:diclofenac;SCN4B:brivaracetam,zonisamide;SLC12A5:clp-635	0.0760543136998047	ICD	2.76429841765446
G50-G59	Nerve, nerve root and plexus disorders	3.21875	0.143363333338293	HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	0.812392222250327	ICD	0.843561909791344
G60-G64	Polyneuropathies and other disorders of the peripheral nervous system	1.94480519480519	0.119042570770921	CHRM1:azd-6088,tolterodine;CHRM4:tolterodine;GABRA3:butalbital,clobazam,clonazepam,meprobamate,propofol,sevoflurane;HRH3:h3 receptor inverse agonists,pf-3900422,sch79687,bp-2.94;KCNQ2:diclofenac,ica-69673;SCN4B:brivaracetam	0.796902499077475	ICD	0.924297702937562
G70-G73	Diseases of myoneural junction and muscle	3.13461538461538	0.149192415849474	HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	0.824288097568343	ICD	0.826253253528501
G80-G83	Cerebral palsy and other paralytic syndromes	3.833984375	0.109617420009944	HRH3:h3 receptor inverse agonists,pf-3900422,sch79687;SCN4B:brivaracetam	0.796465449422521	ICD	0.960120423834977
G90-G99	Other disorders of the nervous system	1.91257995735608	0.125440790199015	CHRM1:azd-6088,tolterodine;CHRM4:tolterodine,anisodine;GABRA3:butalbital,clobazam,clonazepam,meprobamate,propofol,sevoflurane;HRH3:bp-2.94,h3 receptor inverse agonists,pf-3900422,sch79687;KCNQ2:diclofenac,ica-69673;SCN4B:brivaracetam	0.796902499077475	ICD	0.901561218865703
H00-H06	Disorders of eyelid, lacrimal system and orbit	0	1		1	ICD	0
H10-H13	Disorders of conjunctiva	0	1		1	ICD	0
H15-H22	Disorders of sclera, cornea, iris and ciliary body	3.21875	0.143363333338293	CHRM1:homatropine methylbromide;CHRM4:homatropine methylbromide	0.812392222250327	ICD	0.843561909791344
H25-H28	Disorders of lens	0	1		1	ICD	0
H30-H36	Disorders of choroid and retina	0	1		1	ICD	0
H40-H42	Glaucoma	2.015625	0.278775056847518	CHRM1:ac-262271,aceclidine,carbachol,pilocarpine;CHRM4:aceclidine,pilocarpine	1	ICD	0.554746086951688
H43-H45	Disorders of vitreous body and globe	0	1		1	ICD	0
H46-H48	Disorders of optic nerve and visual pathways	0	1		1	ICD	0
H49-H52	Disorders of ocular muscles, binocular movement, accommodation and refraction	0	1		1	ICD	0
H53-H54	Visual disturbances and blindness	0	1		1	ICD	0
H55-H59	Other disorders of eye and adnexa	3.95967741935484	0.10423116338878	CHRM1:tridihexethyl,cyclopentolate;CHRM4:tridihexethyl,cyclopentolate,tropicamide	0.796465449422521	ICD	0.982002414775946
H60-H62	Diseases of external ear	0	1		1	ICD	0
H65-H75	Diseases of middle ear and mastoid	0	1		1	ICD	0
H80-H83	Diseases of inner ear	6.68686868686869	0.155802896820932	CACNA1I:cinnarizine	0.839815614571367	ICD	0.807424471813324
H90-H95	Other disorders of ear	0	1		1	ICD	0
I00-I02	Acute rheumatic fever	0	1		1	ICD	0
I05-I09	Chronic rheumatic heart diseases	0	1		1	ICD	0
I10-I15	Hypertensive diseases	1.42222222222222	0.336481803624805	ATP1A3:rostafuroxin;CACNA1I:manidipine;CHRM4:cryptenamine acetates;GABRA3:diazepam	1	ICD	0.473038416726819
I20-I25	Ischaemic heart diseases	0.975806451612903	0.60451120814256	CHRM1:bqca;GRIN1:l-698532,nbqx;HRH3:fub-130	1	ICD	0.218595642546235
I26-I28	Pulmonary heart disease and diseases of pulmonary circulation	0	1		1	ICD	0
I30-I52	Other forms of heart disease	0.630208333333333	0.824258090548452	ATP1A3:cordil,digitoxin,digoxin,istaroxime;SLC12A5:bumetanide	1	ICD	0.0839367813236583
I60-I69	Cerebrovascular diseases	1.28225806451613	0.433809976704986	DLG4:tat-nr2b9c;GRIN1:dizocilpine,l-701324;PDE1B:vinpocetine	1	ICD	0.362700464359401
I70-I79	Diseases of arteries, arterioles and capillaries	0	1		1	ICD	0
I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	0	1		1	ICD	0
I95-I99	Other and unspecified disorders of the circulatory system	0	1		1	ICD	0
J00-J06	Acute upper respiratory infections	2.125	0.2598456440665	CHRM1:isopropamide iodide;HRH3:gsk1004723,gsk835726,hpp404	1	ICD	0.585284559094108
J09-J18	Influenza and pneumonia	0	1		1	ICD	0
J20-J22	Other acute lower respiratory infections	0	1		1	ICD	0
J30-J39	Other diseases of upper respiratory tract	2.78478574867597	0.110011647216725	CHRM1:isopropamide iodide;GABRA3:lormetazepam;HRH3:gsk1004723,gsk835726,hpp404	0.796465449422521	ICD	0.958561332531093
J40-J47	Chronic lower respiratory diseases	0.785714285714286	0.726252756595769	CHRM1:aclidinium,azd-2115,azd-8683,azd-9164,darotropium,darotropium + 642444,ep-101,incruse ellipta,pur0200,qax-028,rbx-343e48f0,rispenzepine,seebri,sun-101,td-4208,telenzepine,ds-ah-14;CHRM4:aclidinium,gsk233705,orm3,umeclidinium,methacholine,oxitropium bromide	1	ICD	0.138912206171927
J60-J70	Lung diseases due to external agents	0	1		1	ICD	0
J80-J84	Other respiratory diseases principally affecting the interstitium	0	1		1	ICD	0
J85-J86	Suppurative and necrotic conditions of lower respiratory tract	0	1		1	ICD	0
J90-J94	Other diseases of pleura	0	1		1	ICD	0
J95-J99	Other diseases of the respiratory system	0	1		1	ICD	0
K00-K14	Diseases of oral cavity, salivary glands and jaws	3.60477941176471	0.120608738911613	CHRM1:hyoscyamine,mepenzolate,apd-515;CHRM4:hyoscyamine,mepenzolate	0.796902499077475	ICD	0.918621223509365
K20-K31	Diseases of oesophagus, stomach and duodenum	2.53515625	0.203523125628168	CHRM1:hyoscyamine,mepenzolate,anisotropine methylbromide,diphemanil methylsulfate,homatropine methylbromide,oxyphencyclimine,pirenzepine,propantheline;CHRM4:hyoscyamine,mepenzolate,cimetropium bromide,anisotropine methylbromide,homatropine methylbromide,oxyphencyclimine,methantheline	0.994177735509086	ICD	0.691386236256511
K35-K38	Diseases of appendix	7.27205882352941	0.0390070684322941	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	0.478920117974277	ICD	1.40885668776867
K40-K46	Hernia	7.27205882352941	0.0390070684322941	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	0.478920117974277	ICD	1.40885668776867
K50-K52	Noninfective enteritis and colitis	1.40441176470588	0.432587685373395	CHRM1:declopramide,hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	1	ICD	0.363925847935542
K55-K64	Other diseases of intestines	1.85576923076923	0.310284861418368	CHRM1:hyoscyamine,mepenzolate,clidinium,dicyclomine,atropine;CHRM4:hyoscyamine,mepenzolate,ispaghula,mebeverine,methantheline,atropine	1	ICD	0.50823941282334
K65-K67	Diseases of peritoneum	7.27205882352941	0.0390070684322941	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	0.478920117974277	ICD	1.40885668776867
K70-K77	Diseases of liver	0.95952868852459	0.625801187221222	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	1	ICD	0.203563617279413
K80-K87	Disorders of gallbladder, biliary tract and pancreas	3.5	0.126206278134442	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate,methantheline	0.796902499077475	ICD	0.898919040564728
K90-K93	Other diseases of the digestive system	5.875	0.0553644434117739	CHRM1:hyoscyamine,mepenzolate;CHRM4:hyoscyamine,mepenzolate	0.611777099700101	ICD	1.25676906176348
L00-L08	Infections of the skin and subcutaneous tissue	0	1		1	ICD	0
L10-L14	Bullous disorders	0	1		1	ICD	0
L20-L30	Dermatitis and eczema	0.994350282485876	0.642674286284231	CHRM1:smt-d002	1	ICD	0.192009076078817
L40-L45	Papulosquamous disorders	0	1		1	ICD	0
L50-L54	Urticaria and erythema	0	1		1	ICD	0
L55-L59	Radiation-related disorders of the skin and subcutaneous tissue	0	1		1	ICD	0
L60-L75	Disorders of skin appendages	0	1		1	ICD	0
L80-L99	Other disorders of the skin and subcutaneous tissue	0	1		1	ICD	0
M00-M03	Infectious arthropathies	0.514332514332514	0.857286125560465	KCNQ2:diclofenac	1	ICD	0.0668742048995211
M05-M14	Inflammatory polyarthropathies	0.930164722031572	0.634668819060592	CAMK2A:rimacalib;CAMK2B:rimacalib;KCNQ2:diclofenac	1	ICD	0.197452837817395
M15-M19	Arthrosis	0.427685950413223	0.902187742353756	KCNQ2:diclofenac	1	ICD	0.0447030777750944
M20-M25	Other joint disorders	0.519283746556474	0.854710609780312	KCNQ2:diclofenac	1	ICD	0.0681809049791492
M30-M36	Systemic connective tissue disorders	1.8147556691153	0.251485834136658	CHRM1:cevimeline;GABRA3:acamprosate,chlordiazepoxide;GRIN1:acamprosate	1	ICD	0.599486473150991
M40-M43	Deforming dorsopathies	0	1		1	ICD	0
M45-M49	Spondylopathies	1.13228438228438	0.59643893607996	KCNQ2:diclofenac	1	ICD	0.224434013152107
M50-M54	Other dorsopathies	0	1		1	ICD	0
M60-M63	Disorders of muscles	1.85890151515152	0.430018079004571	GABRA3:thiocolchicoside	1	ICD	0.366513285241644
M65-M68	Disorders of synovium and tendon	0	1		1	ICD	0
M70-M79	Other soft tissue disorders	0	1		1	ICD	0
M80-M85	Disorders of bone density and structure	0	1		1	ICD	0
M86-M90	Other osteopathies	0	1		1	ICD	0
M91-M94	Chondropathies	0	1		1	ICD	0
M95-M99	Other disorders of the musculoskeletal system and connective tissue	0	1		1	ICD	0
N00-N08	Glomerular diseases	0	1		1	ICD	0
N10-N16	Renal tubulo-interstitial diseases	0	1		1	ICD	0
N17-N19	Renal failure	0	1		1	ICD	0
N20-N23	Urolithiasis	0	1		1	ICD	0
N25-N29	Other disorders of kidney and ureter	0.495388669301713	0.867152174165163	GPR88:compound 2	1	ICD	0.0619046826840631
N30-N39	Other diseases of urinary system	3.29032258064516	0.0769210236097733	CHRM1:fesoterodine fumarate,smp-986,thvd-201,tolterodine,(s)-oxybutynin,fp-1097,oxybutynin hydrochloride,terflavoxate;CHRM4:tolterodine,trospium;GABRA3:cinolazepam	0.716933720031066	ICD	1.11395494511585
N40-N51	Diseases of male genital organs	3.833984375	0.109617420009944	CHRM1:tolterodine;CHRM4:tolterodine	0.796465449422521	ICD	0.960120423834977
N60-N64	Disorders of breast	0	1		1	ICD	0
N70-N77	Inflammatory diseases of female pelvic organs	0	1		1	ICD	0
N80-N98	Noninflammatory disorders of female genital tract	1.2034632034632	0.574891937047356	GABRA3:chlordiazepoxide,meprobamate	1	ICD	0.240413782361847
N99-N99	Other disorders of the genitourinary system	0	1		1	ICD	0
O00-O08	Pregnancy with abortive outcome	0	1		1	ICD	0
O10-O16	Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium	0	1		1	ICD	0
O20-O29	Other maternal disorders predominantly related to pregnancy	0	1		1	ICD	0
O30-O48	Maternal care related to the fetus and amniotic cavity and possible delivery problems	0	1		1	ICD	0
O60-O75	Complications of labour and delivery	0	1		1	ICD	0
O80-O84	Delivery	12.0606060606061	0.0965371482741663	CHRM1:metoclopramide	0.796465449422521	ICD	1.01530553446995
O85-O92	Complications predominantly related to the puerperium	0	1		1	ICD	0
O94-O99	Other obstetric conditions, not elsewhere classified	0	1		1	ICD	0
P05-P08	Disorders related to length of gestation and fetal growth	0	1		1	ICD	0
P10-P15	Birth trauma	0	1		1	ICD	0
P20-P29	Respiratory and cardiovascular disorders specific to the perinatal period	0	1		1	ICD	0
P35-P39	Infections specific to the perinatal period	0	1		1	ICD	0
P50-P61	Haemorrhagic and haematological disorders of fetus and newborn	0	1		1	ICD	0
P70-P74	Transitory endocrine and metabolic disorders specific to fetus and newborn	0	1		1	ICD	0
P75-P78	Digestive system disorders of fetus and newborn	0	1		1	ICD	0
P90-P96	Other disorders originating in the perinatal period	11.431884057971	0.000878986722354251	ABAT:divalproex sodium,vigabatrin;CACNA1I:paramethadione;GABBR1:vigabatrin;GABRA3:clonazepam	0.0647520218800965	ICD	3.05601768516722
Q00-Q07	Congenital malformations of the nervous system	15.0833333333333	0.0811010995510256	CACNA1I:paramethadione	0.716933720031066	ICD	1.09097325767903
Q10-Q18	Congenital malformations of eye, ear, face and neck	15.0833333333333	0.0811010995510256	CACNA1I:paramethadione	0.716933720031066	ICD	1.09097325767903
Q20-Q28	Congenital malformations of the circulatory system	15.0833333333333	0.0811010995510256	CACNA1I:paramethadione	0.716933720031066	ICD	1.09097325767903
Q30-Q34	Congenital malformations of the respiratory system	0	1		1	ICD	0
Q35-Q37	Cleft lip and cleft palate	0	1		1	ICD	0
Q38-Q45	Other congenital malformations of the digestive system	0	1		1	ICD	0
Q50-Q56	Congenital malformations of genital organs	17.75	0.00911747245084668	CHRM1:atropine;CHRM4:atropine	0.16791345096976	ICD	2.04012554026681
Q60-Q64	Congenital malformations of the urinary system	15.0833333333333	0.0811010995510256	CACNA1I:paramethadione	0.716933720031066	ICD	1.09097325767903
Q65-Q79	Congenital malformations and deformations of the musculoskeletal system	7.52651515151515	0.141350378438594	CACNA1I:paramethadione	0.812392222250327	ICD	0.849703024432524
Q80-Q89	Other congenital malformations	0	1		1	ICD	0
Q90-Q99	Chromosomal abnormalities, not elsewhere classified	10.0454545454545	0.111721397882797	GABBR1:arbaclofen placarbil	0.796465449422521	ICD	0.951863638948592
R00-R09	Symptoms and signs involving the circulatory and respiratory systems	2.97865853658537	0.160996085700216	CHRM1:homatropine methylbromide;CHRM4:flutropium bromide,homatropine methylbromide	0.842390785050246	ICD	0.793184682846796
R10-R19	Symptoms and signs involving the digestive system and abdomen	2.43125	0.215930005902426	CHRM1:clidinium,benzquinamide,buclizine,diphenidol,metoclopramide,scopolamine;CHRM4:benzquinamide,diphenidol	0.994177735509086	ICD	0.665687003370371
R20-R23	Symptoms and signs involving the skin and subcutaneous tissue	2.05084745762712	0.272463795689116	CHRM1:glycopyrrolate;GABRA3:aprobarbital,desflurane,enflurane,etomidate,halothane,heptabarbital,hexobarbital,isoflurane,methoxyflurane,propofol,sevoflurane,thiopental	1	ICD	0.56469119752323
R25-R29	Symptoms and signs involving the nervous and musculoskeletal systems	33.1166666666667	2.96385281944074e-05	ABAT:vigabatrin;CHRM1:oxyphenonium;CHRM4:cimetropium bromide,trospium;GABBR1:vigabatrin	0.00655011473096403	ICD	4.52814336658063
R30-R39	Symptoms and signs involving the urinary system	4.29105571847507	0.0422018086587956	CHRM1:(s)-oxybutynin,fp-1097,oxybutynin hydrochloride,terflavoxate,flavoxate,tolterodine;CHRM4:bethanechol,flavoxate,tolterodine;GABRA3:cinolazepam	0.490873669136517	ICD	1.37466893591742
